start_article_title,starter_article_url,selection_strat,hops_to_phil
Project Billboard,https://en.wikipedia.org/wiki/Project_Billboard,NTH_LINK(2),38

Project Billboard,https://en.wikipedia.org/wiki/Project_Billboard,EMBEDDING_WORD2VEC,6

Beijing North railway station,https://en.wikipedia.org/wiki/Beijing_North_railway_station,NTH_LINK(2),43

William McKinney (disambiguation),https://en.wikipedia.org/wiki/William_McKinney_(disambiguation),NTH_LINK(2),43

Right Stuff (company),https://en.wikipedia.org/wiki/Right_Stuff_(company),NTH_LINK(2),42

Schlöben,https://en.wikipedia.org/wiki/Schl%C3%B6ben,NTH_LINK(2),20

Schlöben,https://en.wikipedia.org/wiki/Schl%C3%B6ben,EMBEDDING_WORD2VEC,3

Eimey Gómez,https://en.wikipedia.org/wiki/Eimey_G%C3%B3mez,WORDNET,9

Eimey Gómez,https://en.wikipedia.org/wiki/Eimey_G%C3%B3mez,EMBEDDING_WORD2VEC,16

Park Place (Norfolk),https://en.wikipedia.org/wiki/Park_Place_(Norfolk),NTH_LINK(2),41

Indira Patel,https://en.wikipedia.org/wiki/Indira_Patel,WORDNET,7

Indira Patel,https://en.wikipedia.org/wiki/Indira_Patel,NTH_LINK(2),40

Indira Patel,https://en.wikipedia.org/wiki/Indira_Patel,EMBEDDING_WORD2VEC,6

Turahiya,https://en.wikipedia.org/wiki/Turahiya,NTH_LINK(2),43

Abnormally Attracted to Sin,https://en.wikipedia.org/wiki/Abnormally_Attracted_to_Sin,WORDNET,13

Torkington,https://en.wikipedia.org/wiki/Torkington,NTH_LINK(2),15

Urban Investment Partners,https://en.wikipedia.org/wiki/Urban_Investment_Partners,WORDNET,4

1993 All-SEC football team,https://en.wikipedia.org/wiki/1993_All-SEC_football_team,NTH_LINK(2),42

Mycerinus limbatus,https://en.wikipedia.org/wiki/Mycerinus_limbatus,NTH_LINK(2),20

"Commanding Officer's Quarters, Watertown Arsenal","https://en.wikipedia.org/wiki/Commanding_Officer%27s_Quarters,_Watertown_Arsenal",WORDNET,8

"Commanding Officer's Quarters, Watertown Arsenal","https://en.wikipedia.org/wiki/Commanding_Officer%27s_Quarters,_Watertown_Arsenal",NTH_LINK(2),40

"Commanding Officer's Quarters, Watertown Arsenal","https://en.wikipedia.org/wiki/Commanding_Officer%27s_Quarters,_Watertown_Arsenal",EMBEDDING_WORD2VEC,6

Josip Vošnjak,https://en.wikipedia.org/wiki/Josip_Vo%C5%A1njak,WORDNET,7

Josip Vošnjak,https://en.wikipedia.org/wiki/Josip_Vo%C5%A1njak,NTH_LINK(2),40

Parotocinclus dani,https://en.wikipedia.org/wiki/Parotocinclus_dani,NTH_LINK(2),9

Archie Loyd,https://en.wikipedia.org/wiki/Archie_Loyd,WORDNET,7

Archie Loyd,https://en.wikipedia.org/wiki/Archie_Loyd,NTH_LINK(2),42

Archie Loyd,https://en.wikipedia.org/wiki/Archie_Loyd,EMBEDDING_WORD2VEC,10

Five Nations Roller Derby Championships,https://en.wikipedia.org/wiki/Five_Nations_Roller_Derby_Championships,WORDNET,8

