start_article_title,starter_article_url,selection_strat,hops_to_phil
Numbered highways in Indiana,https://en.wikipedia.org/wiki/Numbered_highways_in_Indiana,WORDNET,7

Numbered highways in Indiana,https://en.wikipedia.org/wiki/Numbered_highways_in_Indiana,NTH_LINK(1),19

Numbered highways in Indiana,https://en.wikipedia.org/wiki/Numbered_highways_in_Indiana,EMBEDDING_WORD2VEC,6

Romano R.110,https://en.wikipedia.org/wiki/Romano_R.110,WORDNET,6

Romano R.110,https://en.wikipedia.org/wiki/Romano_R.110,NTH_LINK(1),22

Romano R.110,https://en.wikipedia.org/wiki/Romano_R.110,EMBEDDING_WORD2VEC,6

Michel de Cubi�res,https://en.wikipedia.org/wiki/Michel_de_Cubi%C3%A8res,WORDNET,9

Michel de Cubi�res,https://en.wikipedia.org/wiki/Michel_de_Cubi%C3%A8res,NTH_LINK(1),21

Michel de Cubi�res,https://en.wikipedia.org/wiki/Michel_de_Cubi%C3%A8res,EMBEDDING_WORD2VEC,5

Nicholas (Yarushevich),https://en.wikipedia.org/wiki/Nicholas_(Yarushevich),WORDNET,7

Nicholas (Yarushevich),https://en.wikipedia.org/wiki/Nicholas_(Yarushevich),NTH_LINK(1),26

Nicholas (Yarushevich),https://en.wikipedia.org/wiki/Nicholas_(Yarushevich),EMBEDDING_WORD2VEC,13

Cristiana Brandolini d'Adda,https://en.wikipedia.org/wiki/Cristiana_Brandolini_d%27Adda,WORDNET,10

Cristiana Brandolini d'Adda,https://en.wikipedia.org/wiki/Cristiana_Brandolini_d%27Adda,NTH_LINK(1),22

Cristiana Brandolini d'Adda,https://en.wikipedia.org/wiki/Cristiana_Brandolini_d%27Adda,EMBEDDING_WORD2VEC,3

Controlled Conversations,https://en.wikipedia.org/wiki/Controlled_Conversations,WORDNET,8

Controlled Conversations,https://en.wikipedia.org/wiki/Controlled_Conversations,NTH_LINK(1),18

Controlled Conversations,https://en.wikipedia.org/wiki/Controlled_Conversations,EMBEDDING_WORD2VEC,5

